quad,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
1,0.966022901,0.965285492,0.953904957,0.956132948,0.958213579,0.948787121,0.943092118,0.948071938,0.958190793,0.955243933,0.94997875,0.95280773,0.944735673,0.946864922,0.94858534,0.946204073
2,0.965895787,0.976456658,0.979542632,0.963034936,0.976466018,0.980353249,0.97998732,0.977288418,,,,,,,,
3,0.993815938,0.98853009,0.966940011,0.975573325,0.97012074,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
hex,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
1,0.922825152,0.929833989,0.926053196,0.928346117,0.92633232,0.923528478,0.909146968,0.917048636,0.926410137,0.93712899,0.937198186,0.933292768,0.928940147,0.933601914,0.938485992,0.941204433
2,0.975628946,0.981515551,0.993963702,0.96691433,0.981844138,0.990983096,0.980701016,0.989191978,,,,,,,,
3,0.995366933,1.011632208,0.987964587,1.004834694,0.98058305,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
tet,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
1,0.689660582,0.985733382,1.446318282,1.586123934,1.576608756,1.513075644,1.321756573,1.278993107,1.263270286,1.202926894,1.182498209,1.171996766,1.064286723,1.044103713,1.03042463,1.045122743
2,0.867964206,1.3007529,1.636717713,1.518767364,1.550399663,1.542924455,1.424379418,1.396437535,,,,,,,,
3,0.896921548,1.260274341,1.388624666,1.512621645,1.455377968,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
tri,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
1,1.051558989,1.241859595,1.34694979,1.32223067,1.295411822,1.269100904,1.208746456,1.167547129,1.154019739,1.106707002,1.11105178,1.105820324,1.055581707,1.041184989,1.040487601,1.037684221
2,1.142261634,1.338425993,1.382998658,1.29338588,1.226182108,1.204515143,1.153557077,1.131715836,,,,,,,,
3,1.179519583,1.313699476,1.299500656,1.290860643,1.226631194,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
avg,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
1,0.85850053,0.951178315,1.024513273,1.041780972,1.038812956,1.028499305,0.991952391,0.991852413,0.997304802,0.994929392,0.991314283,0.986697692,0.962264317,0.961402587,0.962142484,0.966882732
2,0.950385243,1.05013977,1.104875025,1.066397571,1.082066184,1.088462982,1.064153315,1.066302447,,,,,,,,
3,0.973745561,1.06626581,1.066072294,1.096368466,1.068084813,,,,,,,,,,,
